tag,model,backbone,router_mode,expert_mode,shared_mode,seed,scenario,method,auc
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,3,gate CR_1,0.7459
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,8,SUM,0.7740
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,3,gate CR_3,0.7394
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,8,gate CR_1,0.5359
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,3,concat CR_1,0.7148
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,3,concat CR_3,0.7429
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,8,gate CR_3,0.8028
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,8,SUM,0.7740
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,8,concat CR_1,0.7520
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,8,concat CR_3,0.7246
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,8,gate CR_1,0.7838
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,5,SUM,0.6551
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,5,gate CR_1,0.6841
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,5,gate CR_3,0.6852
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,5,concat CR_1,0.6689
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,8,gate CR_3,0.7748
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,5,concat CR_3,0.6693
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,8,concat CR_1,0.7963
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,8,concat CR_3,0.7609
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,5,SUM,0.6831
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,5,gate CR_1,0.6592
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,5,gate CR_3,0.6720
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,5,concat CR_1,0.6399
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,5,concat CR_3,0.6733
